"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: pl","Country: de / Role: NoAuth","0","0","0","4","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: pl","Country: de / Role: NoAuth","11","0","4","2","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: pl","Country: de / Role: Auth","0","0","0","7","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: pl","Country: de / Role: Auth","0","0","0","6","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: pl","Country: de / Role: NoAuth","6","0","14","2","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: pl","Country: de / Role: NoAuth","0","0","0","6","0"
"US_01.04 | Markets > Menu item [Indices]","Language: pl","Country: de / Role: Auth","12","0","8","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: pl","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: pl","Country: de / Role: NoReg","0","0","8","2","0"
"US_01.04 | Markets > Menu item [Indices]","Language: pl","Country: de / Role: NoReg","6","0","13","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: pl","Country: de / Role: NoAuth","4","0","4","2","0"
"US_11.00.00 | Learn to trade","Language: pl","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: pl","Country: de / Role: NoReg","0","0","0","1","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: pl","Country: de / Role: Auth","13","0","9","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: pl","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: pl","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: pl","Country: de / Role: NoAuth","7","0","4","7","0"
"US_01.04 | Markets > Menu item [Indices]","Language: pl","Country: de / Role: NoAuth","5","0","13","2","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: pl","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: pl","Country: de / Role: NoReg","0","0","0","6","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: pl","Country: de / Role: Auth","1","0","3","2","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: pl","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: pl","Country: de / Role: NoAuth","2","0","2","1","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: pl","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: pl","Country: de / Role: NoReg","0","0","15","2","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: pl","Country: de / Role: NoReg","0","0","0","7","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: pl","Country: de / Role: NoAuth","0","0","0","6","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: pl","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: pl","Country: de / Role: Auth","0","0","0","5","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: pl","Country: de / Role: NoReg","0","0","3","3","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: pl","Country: de / Role: Auth","0","0","0","3","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: pl","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: pl","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: pl","Country: de / Role: NoAuth","0","0","3","3","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: pl","Country: de / Role: Auth","0","0","0","6","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: pl","Country: de / Role: Auth","0","0","0","7","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: pl","Country: de / Role: NoAuth","0","0","2","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: pl","Country: de / Role: Auth","0","0","0","7","0"
"US_11.00.00 | Learn to trade","Language: pl","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: pl","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: pl","Country: de / Role: Auth","0","0","0","5","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: pl","Country: de / Role: NoReg","0","0","0","9","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: pl","Country: de / Role: NoAuth","0","0","0","5","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: pl","Country: de / Role: NoReg","0","0","0","3","0"
