"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: cn","Country: de / Role: NoAuth","2","0","2","1","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: cn","Country: de / Role: NoReg","0","0","6","1","0"
"US_11.00.00 | Learn to trade","Language: cn","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: cn","Country: de / Role: NoAuth","3","0","2","13","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: cn","Country: de / Role: NoAuth","2","0","2","2","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: cn","Country: de / Role: NoAuth","2","0","2","3","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: cn","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: cn","Country: de / Role: NoAuth","2","0","2","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: cn","Country: de / Role: Auth","0","0","0","1","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: cn","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: cn","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: cn","Country: de / Role: NoReg","0","0","4","2","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: cn","Country: de / Role: Auth","1","0","3","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: cn","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: cn","Country: de / Role: Auth","1","0","4","4","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: cn","Country: de / Role: NoReg","0","0","4","3","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: cn","Country: de / Role: NoReg","0","0","0","9","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: cn","Country: de / Role: NoReg","0","0","4","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: cn","Country: de / Role: NoReg","0","0","4","1","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: cn","Country: de / Role: Auth","3","0","4","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: cn","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: cn","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: cn","Country: de / Role: Auth","0","0","0","5","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: cn","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: cn","Country: de / Role: Auth","1","0","3","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: cn","Country: de / Role: NoAuth","0","0","0","5","0"
"US_11.00.00 | Learn to trade","Language: cn","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: cn","Country: de / Role: NoAuth","5","0","0","2","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: cn","Country: de / Role: NoAuth","4","0","2","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: cn","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: cn","Country: de / Role: NoAuth","2","0","2","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: cn","Country: de / Role: NoReg","0","0","0","5","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: cn","Country: de / Role: Auth","0","0","0","5","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: cn","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: cn","Country: de / Role: Auth","0","0","0","1","0"
"US_01.07 | Markets > Menu item [ESG]","Language: cn","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: cn","Country: de / Role: Auth","0","0","0","3","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: cn","Country: de / Role: NoAuth","0","0","1","0","0"
"US_01.07 | Markets > Menu item [ESG]","Language: cn","Country: de / Role: Auth","0","0","0","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: cn","Country: de / Role: Auth","0","0","0","1","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: cn","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: cn","Country: de / Role: NoAuth","0","0","0","2","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: cn","Country: de / Role: Auth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: cn","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: cn","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: cn","Country: de / Role: Auth","0","0","1","0","0"
"US_01.07 | Markets > Menu item [ESG]","Language: cn","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: cn","Country: de / Role: Auth","0","0","1","0","0"
