"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: el","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: el","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: el","Country: au / Role: NoReg","0","0","0","8","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: el","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: el","Country: au / Role: Auth","0","0","0","7","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: el","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: el","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: el","Country: au / Role: Auth","0","0","0","5","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: el","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: el","Country: au / Role: NoReg","0","0","0","9","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: el","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: el","Country: au / Role: NoReg","0","0","4","5","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: el","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: el","Country: au / Role: Auth","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: el","Country: au / Role: Auth","0","0","0","5","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: el","Country: au / Role: Auth","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: el","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: el","Country: au / Role: Auth","0","0","0","6","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: el","Country: au / Role: Auth","0","0","1","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: el","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: el","Country: au / Role: Auth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: el","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: el","Country: au / Role: Auth","0","0","0","8","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: el","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: el","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: el","Country: au / Role: Auth","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: el","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: el","Country: au / Role: Auth","0","0","0","7","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: el","Country: au / Role: Auth","0","0","0","7","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: el","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.00.00 | Learn to trade","Language: el","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: el","Country: au / Role: NoAuth","0","0","0","4","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: el","Country: au / Role: NoReg","0","0","0","3","0"
