"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: de / Role: Auth","7","0","12","8","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: de / Role: NoReg","1","0","27","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: de / Role: NoReg","0","0","20","23","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: de / Role: NoAuth","7","0","20","2","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: de / Role: NoAuth","10","0","17","2","0"
"US_11.00.00 | Learn to trade","Language: en","Country: de / Role: Auth","0","0","0","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: de / Role: NoReg","0","0","20","8","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: de / Role: NoReg","0","0","19","8","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: de / Role: Auth","7","0","14","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: de / Role: NoReg","0","0","12","3","0"
"US_00 | Main Page","Language: en","Country: de / Role: NoAuth","3","0","9","52","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: de / Role: NoReg","0","0","17","6","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: en","Country: de / Role: NoReg","1","0","6","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: en","Country: de / Role: Auth","7","0","0","0","0"
"US_01.01 | Markets > Menu item [All markets]","Language: en","Country: de / Role: Auth","54","2","12","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: de / Role: Auth","3","0","10","2","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: en","Country: de / Role: NoAuth","0","0","0","5","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: en","Country: de / Role: NoAuth","2","0","2","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: en","Country: de / Role: Auth","1","0","6","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: de / Role: Auth","0","0","4","1","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: en","Country: de / Role: NoReg","0","0","4","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: de / Role: NoReg","1","0","14","10","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: de / Role: Auth","3","0","14","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: de / Role: NoAuth","10","0","6","1","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: de / Role: NoAuth","8","0","7","10","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: en","Country: de / Role: Auth","0","0","4","2","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: en","Country: de / Role: NoReg","0","0","0","5","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: en","Country: de / Role: NoReg","7","0","0","0","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: en","Country: de / Role: Auth","2","0","7","0","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: en","Country: de / Role: Auth","1","0","6","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: de / Role: NoAuth","11","0","6","6","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: en","Country: de / Role: Auth","3","0","4","0","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: en","Country: de / Role: NoReg","1","0","6","0","0"
"US_00 | Main Page","Language: en","Country: de / Role: NoReg","0","0","12","52","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: de / Role: NoAuth","6","0","6","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: de / Role: NoReg","0","0","4","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: en","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: en","Country: de / Role: Auth","0","0","0","5","0"
