"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: it","Country: au / Role: NoReg","0","0","0","6","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: it","Country: au / Role: Auth","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: it","Country: au / Role: Auth","0","0","0","7","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: it","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: it","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: it","Country: au / Role: NoAuth","0","0","0","6","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: it","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: it","Country: au / Role: Auth","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: it","Country: au / Role: Auth","0","0","0","5","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: it","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: it","Country: au / Role: Auth","0","0","0","9","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: it","Country: au / Role: Auth","0","0","0","1","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: it","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.00.00 | Learn to trade","Language: it","Country: au / Role: Auth","0","0","0","3","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: it","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: it","Country: au / Role: NoAuth","0","0","3","3","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: it","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: it","Country: au / Role: Auth","4","0","0","0","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: it","Country: au / Role: Auth","0","0","0","3","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: it","Country: au / Role: Auth","0","0","0","5","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Language: it","Country: au / Role: NoReg","0","0","5","0","0"
"US_11.00.00 | Learn to trade","Language: it","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: it","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: it","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: it","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: it","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: it","Country: au / Role: NoReg","0","0","0","3","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Language: it","Country: au / Role: NoAuth","1","0","4","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: it","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: it","Country: au / Role: Auth","0","0","0","7","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: it","Country: au / Role: Auth","0","0","1","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: it","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: it","Country: au / Role: NoAuth","4","0","0","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: it","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.00.00 | Learn to trade","Language: it","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: it","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: it","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: it","Country: au / Role: NoReg","0","0","3","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: it","Country: au / Role: Auth","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: it","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: it","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: it","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: it","Country: au / Role: Auth","0","0","1","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: it","Country: au / Role: Auth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: it","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: it","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: it","Country: au / Role: Auth","0","0","0","1","0"
