"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: de","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: de","Country: au / Role: Auth","0","0","0","9","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: de","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: de","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.00.00 | Learn to trade","Language: de","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: de","Country: au / Role: NoAuth","3","0","3","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: de","Country: au / Role: Auth","0","0","3","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: de","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: de","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: de","Country: au / Role: NoAuth","0","0","2","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: de","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: de","Country: au / Role: NoReg","0","0","2","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: de","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: de","Country: au / Role: Auth","0","0","0","3","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: de","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: de","Country: au / Role: NoAuth","2","0","2","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: de","Country: au / Role: NoReg","0","0","6","0","0"
