"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Role: NoReg","Country: gb / Language: en","2","0","23","49","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Role: NoReg","Country: gb / Language: en","0","0","0","2","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Role: NoReg","Country: gb / Language: en","0","0","1","0","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Role: NoAuth","Country: gb / Language: en","0","0","0","5","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Role: NoAuth","Country: gb / Language: en","0","0","0","3","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Role: NoAuth","Country: gb / Language: en","1","0","0","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Role: Auth","Country: gb / Language: en","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Role: Auth","Country: gb / Language: en","0","0","0","8","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Role: NoReg","Country: gb / Language: en","0","0","0","5","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Role: NoAuth","Country: gb / Language: en","0","0","0","5","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Role: NoReg","Country: gb / Language: en","0","0","0","9","0"
"US_11.00.00 | Learn to trade","Role: Auth","Country: gb / Language: en","1","0","2","0","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Role: Auth","Country: gb / Language: en","0","0","0","6","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Role: NoReg","Country: gb / Language: en","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Role: NoAuth","Country: gb / Language: en","0","0","0","7","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Role: NoAuth","Country: gb / Language: en","0","0","0","6","0"
"US_01.05 | Markets > Menu item [Commodities]","Role: Auth","Country: gb / Language: en","0","0","0","12","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Role: NoAuth","Country: gb / Language: en","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Role: NoAuth","Country: gb / Language: en","3","0","0","0","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Role: NoAuth","Country: gb / Language: en","0","0","0","8","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Role: NoReg","Country: gb / Language: en","0","0","0","5","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Role: Auth","Country: gb / Language: en","1","0","2","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Role: NoReg","Country: gb / Language: en","0","0","0","6","0"
"US_11.00.00 | Learn to trade","Role: NoReg","Country: gb / Language: en","0","0","3","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Role: NoAuth","Country: gb / Language: en","0","0","0","7","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Role: NoReg","Country: gb / Language: en","0","0","0","7","0"
"US_01.01 | Markets > Menu item [All markets]","Role: NoReg","Country: gb / Language: en","0","0","0","8","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Role: NoAuth","Country: gb / Language: en","0","0","0","2","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Role: NoReg","Country: gb / Language: en","0","0","0","5","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Role: Auth","Country: gb / Language: en","0","0","0","5","0"
"US_01.04 | Markets > Menu item [Indices]","Role: Auth","Country: gb / Language: en","0","0","0","11","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Role: Auth","Country: gb / Language: en","0","0","0","1","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Role: NoAuth","Country: gb / Language: en","0","0","0","6","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Role: NoReg","Country: gb / Language: en","0","0","1","0","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Role: NoReg","Country: gb / Language: en","0","0","5","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Role: NoReg","Country: gb / Language: en","0","0","0","7","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Role: Auth","Country: gb / Language: en","0","0","0","1","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Role: NoReg","Country: gb / Language: en","0","0","0","7","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Role: NoReg","Country: gb / Language: en","0","0","0","3","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Role: NoAuth","Country: gb / Language: en","0","0","0","5","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Role: NoReg","Country: gb / Language: en","0","0","3","0","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Role: Auth","Country: gb / Language: en","1","0","2","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Role: NoReg","Country: gb / Language: en","0","0","0","1","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Role: NoAuth","Country: gb / Language: en","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Role: NoReg","Country: gb / Language: en","0","0","0","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Role: Auth","Country: gb / Language: en","0","0","0","2","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Role: NoAuth","Country: gb / Language: en","0","0","0","1","0"
"US_11.00.00 | Learn to trade","Role: NoAuth","Country: gb / Language: en","3","0","0","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Role: NoAuth","Country: gb / Language: en","0","0","0","1","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Role: Auth","Country: gb / Language: en","0","0","0","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Role: NoAuth","Country: gb / Language: en","1","0","0","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Role: NoAuth","Country: gb / Language: en","1","0","0","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Role: Auth","Country: gb / Language: en","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Role: NoReg","Country: gb / Language: en","0","0","0","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Role: Auth","Country: gb / Language: en","0","0","1","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Role: Auth","Country: gb / Language: en","0","0","1","0","0"
