"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: it","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: it","Country: ae / Role: NoAuth","5","0","20","2","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: it","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: it","Country: ae / Role: Auth","0","0","5","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: it","Country: ae / Role: Auth","9","0","10","6","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: it","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: it","Country: ae / Role: NoReg","0","0","4","5","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: it","Country: ae / Role: Auth","0","0","0","6","0"
"US_11.00.00 | Learn to trade","Language: it","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: it","Country: ae / Role: NoReg","0","3","22","2","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: it","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: it","Country: ae / Role: NoReg","2","0","16","7","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: it","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: it","Country: ae / Role: NoReg","0","2","23","18","0"
"US_11.00.01 | Essentials of trading","Language: it","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: it","Country: ae / Role: NoAuth","4","0","14","7","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: it","Country: ae / Role: NoReg","0","3","22","2","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: it","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: it","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: it","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: it","Country: ae / Role: Auth","12","0","14","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: it","Country: ae / Role: NoAuth","5","0","20","18","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: it","Country: ae / Role: NoAuth","5","0","20","2","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: it","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: it","Country: ae / Role: NoReg","0","0","22","6","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: it","Country: ae / Role: NoReg","0","0","18","5","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: it","Country: ae / Role: NoAuth","0","0","0","9","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: it","Country: ae / Role: NoAuth","0","0","0","6","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: it","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: it","Country: ae / Role: Auth","0","0","0","9","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: it","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: it","Country: ae / Role: NoAuth","1","0","21","6","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: it","Country: ae / Role: NoReg","0","0","0","6","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: it","Country: ae / Role: Auth","0","0","0","1","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: it","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: it","Country: ae / Role: NoAuth","0","0","18","5","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: it","Country: ae / Role: Auth","13","0","13","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: it","Country: ae / Role: Auth","8","0","15","5","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: it","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: it","Country: ae / Role: Auth","1","0","4","4","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: it","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: it","Country: ae / Role: Auth","12","1","13","17","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: it","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: it","Country: ae / Role: NoAuth","1","0","4","0","0"
"US_11.00.00 | Learn to trade","Language: it","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: it","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: it","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: it","Country: ae / Role: Auth","0","0","0","4","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: it","Country: ae / Role: Auth","7","0","12","4","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: it","Country: ae / Role: NoAuth","0","0","4","5","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: it","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: it","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: it","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: it","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: it","Country: ae / Role: NoReg","0","0","0","9","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: it","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.00.01 | Essentials of trading","Language: it","Country: ae / Role: Auth","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: it","Country: ae / Role: NoReg","0","0","0","1","0"
