"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jan 14 16:43:45 GMT 2024","Sun Jan 14 16:44:21 GMT 2024","35613","tests.US_11_Education.US_11-01-01_Learning_hub","US_11-01-01_Learning_hub","TestLearningHub","","","TC_11.01.01.00_01 | Testing button [1. Create your account] in block [Steps trading]. Bid:11.01.01.00_01-cn.gb.NoAuth","
        Check: Header -> button [Log In]
        Language: En. License: FCA.
        "
"passed","Sun Jan 14 16:44:21 GMT 2024","Sun Jan 14 16:44:45 GMT 2024","24001","tests.US_11_Education.US_11-01-01_Learning_hub","US_11-01-01_Learning_hub","TestLearningHub","","","TC_11.01.01.00_01 | Testing button [1. Create your account] in block [Steps trading]. Bid:11.01.01.00_01-cn.gb.NoReg","
        Check: Header -> button [Log In]
        Language: En. License: FCA.
        "
"passed","Sun Jan 14 16:43:01 GMT 2024","Sun Jan 14 16:43:45 GMT 2024","44345","tests.US_11_Education.US_11-01-01_Learning_hub","US_11-01-01_Learning_hub","TestLearningHub","","","TC_11.01.01.00_01 | Testing button [1. Create your account] in block [Steps trading]. Bid:11.01.01.00_01-cn.gb.Auth","
        Check: Header -> button [Log In]
        Language: En. License: FCA.
        "
