"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Language: ar","Country: au / Role: Auth","5","0","8","61","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: ar","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: ar","Country: au / Role: Auth","0","0","1","0","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: ar","Country: au / Role: Auth","0","0","0","6","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ar","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ar","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ar","Country: au / Role: NoAuth","0","0","0","9","0"
"US_01.01 | Markets > Menu item [All markets]","Language: ar","Country: au / Role: Auth","18","0","7","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: ar","Country: au / Role: Auth","0","0","0","3","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ar","Country: au / Role: Auth","0","0","0","9","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ar","Country: au / Role: NoReg","0","0","5","2","0"
"US_01.03 | Markets > Menu item [Forex]","Language: ar","Country: au / Role: NoAuth","6","0","15","2","0"
"US_01.02 | Markets > Menu item [Shares]","Language: ar","Country: au / Role: NoReg","4","0","16","1","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: ar","Country: au / Role: Auth","13","0","9","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: ar","Country: au / Role: Auth","0","0","0","6","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: ar","Country: au / Role: NoReg","4","0","17","1","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: ar","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: ar","Country: au / Role: Auth","1","0","4","2","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: ar","Country: au / Role: NoAuth","0","0","0","6","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: ar","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ar","Country: au / Role: NoReg","0","0","0","9","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: ar","Country: au / Role: Auth","0","0","1","0","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ar","Country: au / Role: Auth","0","0","0","8","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ar","Country: au / Role: Auth","2","0","3","2","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ar","Country: au / Role: Auth","0","0","0","5","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ar","Country: au / Role: NoReg","0","0","5","2","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: ar","Country: au / Role: Auth","1","0","3","3","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: ar","Country: au / Role: NoAuth","0","0","0","6","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ar","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ar","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ar","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: ar","Country: au / Role: Auth","0","0","0","5","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ar","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: ar","Country: au / Role: NoReg","0","0","5","2","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: ar","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: ar","Country: au / Role: Auth","0","0","1","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ar","Country: au / Role: Auth","0","0","0","3","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ar","Country: au / Role: Auth","0","0","0","5","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: ar","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ar","Country: au / Role: Auth","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ar","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: ar","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: ar","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: ar","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: ar","Country: au / Role: Auth","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ar","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: ar","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: ar","Country: au / Role: NoReg","0","0","4","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: ar","Country: au / Role: Auth","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ar","Country: au / Role: NoReg","0","0","0","8","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: ar","Country: au / Role: Auth","0","0","0","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: ar","Country: au / Role: Auth","1","0","3","0","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: ar","Country: au / Role: NoAuth","6","0","14","2","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ar","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: ar","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: ar","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ar","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: ar","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: ar","Country: au / Role: Auth","0","0","0","1","0"
