"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Language: hu","Country: de / Role: Auth","8","0","3","49","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: hu","Country: de / Role: Auth","0","0","0","4","0"
"US_01.04 | Markets > Menu item [Indices]","Language: hu","Country: de / Role: NoReg","4","0","6","1","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: hu","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: hu","Country: de / Role: NoAuth","0","0","3","1","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: hu","Country: de / Role: Auth","0","0","0","9","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: hu","Country: de / Role: NoReg","0","0","0","9","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: hu","Country: de / Role: Auth","0","0","4","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: hu","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: hu","Country: de / Role: Auth","0","0","0","6","0"
"US_11.00.00 | Learn to trade","Language: hu","Country: de / Role: Auth","0","0","0","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: hu","Country: de / Role: NoAuth","0","0","0","8","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: hu","Country: de / Role: Auth","0","0","0","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: hu","Country: de / Role: NoReg","0","0","0","4","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: hu","Country: de / Role: Auth","0","0","0","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: hu","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: hu","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: hu","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: hu","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: hu","Country: de / Role: NoReg","0","0","0","5","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: hu","Country: de / Role: Auth","0","0","0","7","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: hu","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.00 | Learn to trade","Language: hu","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: hu","Country: de / Role: Auth","0","0","1","0","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: hu","Country: de / Role: NoAuth","0","0","0","5","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: hu","Country: de / Role: Auth","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: hu","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: hu","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: hu","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: hu","Country: de / Role: Auth","0","0","0","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: hu","Country: de / Role: Auth","0","0","0","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: hu","Country: de / Role: NoReg","0","0","3","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: hu","Country: de / Role: Auth","0","0","0","5","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: hu","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.00.00 | Learn to trade","Language: hu","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: hu","Country: de / Role: NoReg","0","0","0","1","0"
"US_01.01 | Markets > Menu item [All Markets]","Language: hu","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: hu","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: hu","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: hu","Country: de / Role: Auth","0","0","0","3","0"
"US_01.01 | Markets > Menu item [All Markets]","Language: hu","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: hu","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: hu","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: hu","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: hu","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: hu","Country: de / Role: Auth","0","0","1","0","0"
