"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jun 18 11:17:32 GMT 2024","Tue Jun 18 11:17:32 GMT 2024","0","tests.US_11_Education.US_11-02-04_Forex_trading","US_11-02-04-00_Forex_trading_test","TestForexTradingMainPage","","","TC_11.02.04.00_01 | Testing button [Start Trading] on Main banner. Bid:11.02.04.00_01-hu.de.NoAuth","
        Check: Button [Start Trading] on Main banner
        Language: All. License: All.
        "
"skipped","Tue Jun 18 11:18:32 GMT 2024","Tue Jun 18 11:18:32 GMT 2024","0","tests.US_11_Education.US_11-03-02_Day_trading","us_11-03-02_day_trading_test","TestDayTrading","","","TC_11.03.02.00_01 | Testing button [Start Trading] on Main banner. Bid:11.03.02.00_01-hu.de.NoAuth","
        Check: Button [Start Trading] on Main banner
        Language: All. License: All.
        "
"passed","Tue Jun 18 10:08:53 GMT 2024","Tue Jun 18 10:09:01 GMT 2024","7726","tests.US_01_Markets.US_01-03_Forex","US_01-03-01_forex_tests","TestTradingInstrumentPage","","","TC_01.03.01_011 | Testing button [1. Create your account] in Step trading block on trading instrument page. Bid:01.03.01_011-hu.de.NoReg","
        Check: Button [1. Create & verify account] in 'Step trading block' on trading instrument page
        Language: All. License: All, except FCA.
        "
"failed","Tue Jun 18 09:47:29 GMT 2024","Tue Jun 18 09:47:50 GMT 2024","20961","tests.US_01_Markets.US_01-02_Shares","US_01-02-01_Shares_test","TestSharesItemPage","","","TC_01.02.01_010 | Testing button [Trade now] in the widget Promo Market on the trading instrument page. Bid:01.02.01_010-hu.de.NoReg","
        Check: Button [Trade now] in the widget Promo Market on the trading instrument page
        Language: All. License: All,except FCA.
        "
"skipped","Tue Jun 18 11:17:45 GMT 2024","Tue Jun 18 11:17:45 GMT 2024","0","tests.US_11_Education.US_11-02-05_Cryptocurrency_trading","us_11-02-05-00_cryptocurrency_trading_test","TestCryptocurrencyTrading","","","TC_11.02.05.00_04 | Testing button [Start trading] in the Content block. Bid:11.02.05.00_04-hu.de.NoAuth","
        Check: Button [Start trading] in the Content block
        Language: All, except AR, EL, HU, NL.
        License: All, except FCA (GB country)
        "
"skipped","Tue Jun 18 11:17:32 GMT 2024","Tue Jun 18 11:17:32 GMT 2024","2","tests.US_11_Education.US_11-02-04_Forex_trading","US_11-02-04-00_Forex_trading_test","TestForexTradingMainPage","","","TC_11.02.04.00_06 | Testing button [Trade] in Most traded block. Bid:11.02.04.00_06-hu.de.NoReg","
        Check: Button [Trade] in Most traded block
        Language: All. License: All.
        "
"passed","Tue Jun 18 09:47:20 GMT 2024","Tue Jun 18 09:47:29 GMT 2024","8467","tests.US_01_Markets.US_01-02_Shares","US_01-02-01_Shares_test","TestSharesItemPage","","","TC_01.02.01_009 | Testing button [Start trading] in the widget Trading calculator on the trading instrument page. Bid:01.02.01_009-hu.de.NoReg","
        Check: Button [Start trading] in the widget Trading calculator on the trading instrument page
        Language: All. License: All,except FCA.
        "
"skipped","Tue Jun 18 09:13:54 GMT 2024","Tue Jun 18 09:13:54 GMT 2024","0","tests.US_00_Main_page.US_00-00_Main_page","us_00-00_main_page_test","TestMainPage","","","TC_00.00_106 | Testing button [Buy] in Block 'Our markets' 'Indices' market, 'Last' instrument. Bid:00.00_106-hu.de.NoAuth","
        Check: Button [Buy] in Block 'Our markets' Main Page
        Language: EN. License: FCA.
        "
"skipped","Tue Jun 18 11:18:53 GMT 2024","Tue Jun 18 11:18:53 GMT 2024","3","tests.US_11_Education.US_11-03-04_Position_Trading","US_11-03-04_Position_Trading_test","TestPositionTrading","","","TC_11.03.04.00_07 | Testing button [1. Create & verify your account] in Block 'Steps trading'. Bid:11.03.04.00_07-hu.de.NoAuth","
        Check: Button [1. Create & verify your account] in block 'Steps trading'
        Language: All. License: All.
        "
"passed","Tue Jun 18 09:17:23 GMT 2024","Tue Jun 18 09:17:30 GMT 2024","6349","tests.US_00_Main_page.US_00-00_Main_page","us_00-00_main_page_test","TestMainPage","","","TC_00.00_031 | Testing button [Trade now] in Banner 'Get involved. Become a trader' Main Page. Bid:00.00_031-hu.de.NoAuth","
        Check: Button [Trade now] in Banner 'Get involved. Become a trader' Main Page
        Language: Except EN.
        License:
            CYSEC, SCB - for AR, IT
            CYSEC, ASIC, SCB - for All except AR, IT, EN
        "
