"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Language: pl","Country: ae / Role: NoAuth","8","0","8","58","0"
"US_01.04 | Markets > Menu item [Indices]","Language: pl","Country: ae / Role: NoAuth","6","0","12","2","0"
"US_01.03 | Markets > Menu item [Forex]","Language: pl","Country: ae / Role: Auth","13","1","8","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: pl","Country: ae / Role: NoReg","0","0","3","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: pl","Country: ae / Role: Auth","1","0","2","3","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: pl","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_01.01 | Markets > Menu item [All markets]","Language: pl","Country: ae / Role: NoReg","1","6","11","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: pl","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: pl","Country: ae / Role: NoReg","0","0","15","3","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: pl","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: pl","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: pl","Country: ae / Role: NoReg","0","0","0","4","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: pl","Country: ae / Role: Auth","0","0","1","0","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Language: pl","Country: ae / Role: NoReg","1","0","4","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: pl","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: pl","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: pl","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: pl","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: pl","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: pl","Country: ae / Role: NoAuth","4","0","4","2","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: pl","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: pl","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: pl","Country: ae / Role: NoAuth","0","0","0","4","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: pl","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: pl","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: pl","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: pl","Country: ae / Role: NoAuth","0","0","2","1","0"
"US_11.00.00 | Learn to trade","Language: pl","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: pl","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: pl","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: pl","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: pl","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: pl","Country: ae / Role: Auth","0","0","0","1","0"
