"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ru","Country: de / Role: Auth","9","0","16","2","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: ru","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: ru","Country: de / Role: NoReg","0","0","0","3","0"
"US_01.03 | Markets > Menu item [Forex]","Language: ru","Country: de / Role: Auth","16","1","13","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: ru","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: ru","Country: de / Role: Auth","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: ru","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ru","Country: de / Role: Auth","0","0","0","5","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: ru","Country: de / Role: NoAuth","0","0","4","5","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: ru","Country: de / Role: NoAuth","0","0","0","5","0"
"US_01.01 | Markets > Menu item [All markets]","Language: ru","Country: de / Role: NoAuth","4","0","14","2","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: ru","Country: de / Role: Auth","0","0","0","5","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: ru","Country: de / Role: Auth","1","0","3","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: ru","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.00 | Learn to trade","Language: ru","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ru","Country: de / Role: NoReg","2","0","16","7","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: ru","Country: de / Role: Auth","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ru","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ru","Country: de / Role: NoAuth","0","0","0","5","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: ru","Country: de / Role: NoReg","0","0","0","6","0"
"US_01.07 | Markets > Menu item [ESG]","Language: ru","Country: de / Role: NoReg","0","0","0","1","0"
