"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: es","Country: ae / Role: Auth","6","0","11","0","0"
"US_01.02 | Markets > Menu item [Shares]","Language: es","Country: ae / Role: NoAuth","6","0","13","2","0"
"US_00 | Main Page","Language: es","Country: ae / Role: NoAuth","7","0","6","54","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: ae / Role: Auth","3","0","9","3","0"
"US_01.03 | Markets > Menu item [Forex]","Language: es","Country: ae / Role: NoReg","4","0","18","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: es","Country: ae / Role: NoReg","0","0","13","4","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: es","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: es","Country: ae / Role: NoAuth","5","0","0","2","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: es","Country: ae / Role: NoAuth","11","0","5","2","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: es","Country: ae / Role: NoReg","0","0","0","9","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: ae / Role: NoReg","1","0","10","4","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: es","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: es","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: es","Country: ae / Role: NoAuth","0","0","0","9","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: es","Country: ae / Role: NoAuth","2","0","2","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: es","Country: ae / Role: Auth","0","0","6","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: es","Country: ae / Role: NoAuth","4","0","14","2","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: es","Country: ae / Role: NoReg","0","0","15","3","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: es","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: es","Country: ae / Role: Auth","5","0","11","9","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: es","Country: ae / Role: Auth","2","0","7","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: es","Country: ae / Role: Auth","7","0","9","2","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: es","Country: ae / Role: Auth","0","0","0","9","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: es","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: es","Country: ae / Role: NoReg","0","0","15","10","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: es","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: es","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: es","Country: ae / Role: NoAuth","0","0","3","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: es","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: es","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: es","Country: ae / Role: NoReg","0","0","3","3","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: es","Country: ae / Role: Auth","4","0","10","3","0"
"US_11.00.00 | Learn to trade","Language: es","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: es","Country: ae / Role: NoAuth","3","0","3","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: es","Country: ae / Role: NoAuth","12","0","4","1","0"
"US_11.00.00 | Learn to trade","Language: es","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: es","Country: ae / Role: NoAuth","2","0","3","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: es","Country: ae / Role: NoReg","0","0","13","2","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: es","Country: ae / Role: Auth","0","0","3","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: es","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: es","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: es","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: es","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: es","Country: ae / Role: NoReg","0","0","8","2","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: es","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: es","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: es","Country: ae / Role: Auth","0","0","5","0","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: es","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: es","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: es","Country: ae / Role: NoAuth","9","0","4","4","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: es","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: es","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: es","Country: ae / Role: Auth","0","0","0","7","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: es","Country: ae / Role: Auth","13","0","9","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: es","Country: ae / Role: NoReg","1","0","5","0","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: es","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: es","Country: ae / Role: NoReg","5","0","0","2","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: es","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: es","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_11.00.00 | Learn to trade","Language: es","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: es","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: es","Country: ae / Role: NoReg","0","0","0","3","0"
"US_01.07 | Markets > Menu item [ESG]","Language: es","Country: ae / Role: NoAuth","0","0","0","2","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: es","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: es","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_01.07 | Markets > Menu item [ESG]","Language: es","Country: ae / Role: NoReg","0","0","0","2","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: es","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: es","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: es","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: es","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_01.07 | Markets > Menu item [ESG]","Language: es","Country: ae / Role: Auth","0","0","0","2","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: es","Country: ae / Role: Auth","0","0","1","0","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: es","Country: ae / Role: Auth","0","0","0","5","0"
