"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: nl","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: nl","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: nl","Country: de / Role: Auth","0","0","4","0","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: nl","Country: de / Role: Auth","0","0","0","4","0"
"US_01.03 | Markets > Menu item [Forex]","Language: nl","Country: ae / Role: Auth","4","7","3","1","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: nl","Country: ae / Role: NoReg","0","0","0","6","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: nl","Country: de / Role: NoReg","0","0","0","7","0"
"US_00 | Main Page","Language: nl","Country: au / Role: Auth","0","0","0","44","0"
"US_01.04 | Markets > Menu item [Indices]","Language: nl","Country: au / Role: NoAuth","3","0","7","1","0"
"US_11.00.00 | Learn to trade","Language: nl","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: nl","Country: au / Role: Auth","0","0","1","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: nl","Country: ae / Role: NoAuth","6","0","6","3","0"
"US_01.04 | Markets > Menu item [Indices]","Language: nl","Country: ae / Role: NoAuth","3","0","7","1","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: nl","Country: de / Role: NoReg","0","0","5","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: nl","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: nl","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_01.04 | Markets > Menu item [Indices]","Language: nl","Country: ae / Role: NoReg","2","0","8","1","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: nl","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: nl","Country: ae / Role: NoReg","0","0","12","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: nl","Country: de / Role: NoAuth","2","0","3","0","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: nl","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: nl","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.00.00 | Learn to trade","Language: nl","Country: de / Role: Auth","0","0","0","3","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: nl","Country: au / Role: Auth","0","0","0","7","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: nl","Country: de / Role: NoReg","0","0","0","7","0"
